Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %;employer_id
250;3;Мегаполис;3265;Чувашия;4 452 898,00;4 177 299,00;275 599,00;6,6;
251;3;Московский Коммерческий Банк;3172;Москва и обл.;4 450 458,00;4 153 689,00;296 769,00;7,14;
252;4;Веста;2368;Москва и обл.;4 383 297,00;4 107 311,00;275 986,00;6,72;
253;2;Братский АНКБ;1144;Иркутская обл.;4 341 391,00;4 123 823,00;217 568,00;5,28;
254;-5;Камский Коммерческий Банк;438;Татарстан;4 320 875,00;4 354 386,00;-33 511,00;-0,77;
255;-3;Кремлевский;2905;Москва и обл.;4 316 351,00;4 223 049,00;93 302,00;2,21;
256;59;Мобильная карта;3522;Санкт-Петербург и обл.;4 296 611,00;2 243 069,00;2 053 542,00;91,55;
257;0;Донкомбанк;492;Ростовская обл.;4 246 692,00;4 087 056,00;159 636,00;3,91;
258;4;Алтайкапиталбанк;2659;Алтайский край;4 196 027,00;3 956 394,00;239 633,00;6,06;
259;-16;Икано Банк;3519;Москва и обл.;4 195 355,00;4 868 242,00;-672 887,00;-13,82;
260;4;Славянский Кредит;2960;Москва и обл.;4 131 541,00;3 875 454,00;256 087,00;6,61;
261;-1;Вологжанин;1896;Вологодская обл.;4 047 777,00;4 017 606,00;30 171,00;0,75;
262;-15;Нэклис-Банк;1671;Москва и обл.;4 039 375,00;4 525 571,00;-486 196,00;-10,74;
263;-4;ЮМК;3495;Краснодарский край;3 992 617,00;4 067 747,00;-75 130,00;-1,85;
264;-1;ПэйПал Ру;3517;Москва и обл.;3 988 777,00;3 931 145,00;57 632,00;1,47;
265;3;Объединенный Резервный Банк;937;Москва и обл.;3 972 378,00;3 638 913,00;333 465,00;9,16;
266;4;Владбизнесбанк;903;Владимирская обл.;3 906 459,00;3 583 672,00;322 787,00;9,01;
267;14;Народный Банк;2249;Москва и обл.;3 819 229,00;3 121 435,00;697 794,00;22,35;
268;-2;Современные Стандарты Бизнеса;3397;Москва и обл.;3 726 835,00;3 672 528,00;54 307,00;1,48;
269;9;Далена Банк;1948;Москва и обл.;3 701 159,00;3 274 414,00;426 745,00;13,03;
270;-3;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;3 631 371,00;3 666 623,00;-35 252,00;-0,96;
271;-2;Уралпромбанк;2964;Челябинская обл.;3 619 198,00;3 598 734,00;20 464,00;0,57;
272;5;Элита;1399;Калужская обл.;3 531 179,00;3 302 592,00;228 587,00;6,92;
273;-8;Банк Реалист;2646;Москва и обл.;3 527 004,00;3 832 767,00;-305 763,00;-7,98;
274;-3;Коммерческий Индо Банк;3446;Москва и обл.;3 450 738,00;3 520 932,00;-70 194,00;-1,99;
275;-1;Уралфинанс;1370;Свердловская обл.;3 280 522,00;3 357 608,00;-77 086,00;-2,3;
276;15;Новый Век;3417;Москва и обл.;3 277 038,00;2 960 321,00;316 717,00;10,7;
277;3;Живаго Банк;2065;Рязанская обл.;3 232 569,00;3 141 702,00;90 867,00;2,89;
278;26;Юнистрим;3467;Москва и обл.;3 229 020,00;2 561 664,00;667 356,00;26,05;
279;-3;Первоуральскбанк;965;Свердловская обл.;3 219 319,00;3 310 629,00;-91 310,00;-2,76;
280;-7;Вестерн Юнион ДП Восток;2726;Москва и обл.;3 218 674,00;3 437 465,00;-218 791,00;-6,36;
281;-6;Первый Клиентский Банк;3436;Москва и обл.;3 215 423,00;3 353 251,00;-137 828,00;-4,11;
282;10;Унифондбанк;3416;Москва и обл.;3 129 180,00;2 938 070,00;191 110,00;6,5;
283;-1;Банк ПСА Финанс Рус;3481;Москва и обл.;3 111 039,00;3 117 776,00;-6 737,00;-0,22;
284;25;Расчетные Решения;3524;Москва и обл.;3 096 665,00;2 397 001,00;699 664,00;29,19;
285;3;БСТ-Банк;2883;Кемеровская обл.;3 092 127,00;3 023 000,00;69 127,00;2,29;
286;-14;Оргбанк;3312;Москва и обл.;3 088 982,00;3 455 486,00;-366 504,00;-10,61;
287;-1;Кетовский Коммерческий Банк;842;Курганская обл.;3 087 143,00;3 039 980,00;47 163,00;1,55;
288;-3;Профессионал Банк;3296;Москва и обл.;3 044 600,00;3 071 636,00;-27 036,00;-0,88;
289;7;Тамбовкредитпромбанк;1312;Тамбовская обл.;3 024 536,00;2 764 953,00;259 583,00;9,39;
290;-6;Евразийский Банк;969;Москва и обл.;2 996 870,00;3 080 238,00;-83 368,00;-2,71;
291;-47;Московский Нефтехимический Банк;1411;Москва и обл.;2 979 493,00;4 669 705,00;-1 690 212,00;-36,2;
292;-9;Синко-Банк;2838;Москва и обл.;2 976 376,00;3 088 145,00;-111 769,00;-3,62;
293;0;Тендер-Банк;2252;Москва и обл.;2 973 122,00;2 918 621,00;54 501,00;1,87;
294;-15;Заречье;817;Татарстан;2 970 154,00;3 155 351,00;-185 197,00;-5,87;
295;56;ИРС;272;Москва и обл.;2 846 546,00;1 484 592,00;1 361 954,00;91,74;
296;-7;Внешфинбанк;3173;Краснодарский край;2 839 864,00;3 006 647,00;-166 783,00;-5,55;
297;4;Экси-Банк;2530;Санкт-Петербург и обл.;2 806 325,00;2 663 414,00;142 911,00;5,37;
298;2;ИТ Банк;2609;Омская обл.;2 748 957,00;2 663 695,00;85 262,00;3,2;
299;-12;Ермак;1809;Ханты-Мансийский АО — Югра;2 717 694,00;3 037 994,00;-320 300,00;-10,54;
300;-5;Оней Банк;3516;Москва и обл.;2 676 382,00;2 785 140,00;-108 758,00;-3,9;
301;-3;Газнефтьбанк;3223;Саратовская обл.;2 673 550,00;2 685 708,00;-12 158,00;-0,45;
302;-5;Яринтербанк;2564;Ярославская обл.;2 666 958,00;2 717 009,00;-50 051,00;-1,84;
303;7;Витабанк;356;Санкт-Петербург и обл.;2 664 323,00;2 348 509,00;315 814,00;13,45;
304;-5;Евроальянс;1781;Ивановская обл.;2 617 471,00;2 677 496,00;-60 025,00;-2,24;
305;-15;Америкэн Экспресс Банк;3460;Москва и обл.;2 615 165,00;2 995 875,00;-380 710,00;-12,71;
306;-12;Система;2846;Москва и обл.;2 607 438,00;2 793 244,00;-185 806,00;-6,65;
307;-4;Международный Коммерческий Банк;2524;Москва и обл.;2 590 528,00;2 579 273,00;11 255,00;0,44;
308;-6;Социум-Банк;2881;Москва и обл.;2 543 121,00;2 631 488,00;-88 367,00;-3,36;
309;8;Первый Инвестиционный Банк;604;Москва и обл.;2 500 273,00;2 212 430,00;287 843,00;13,01;
310;-4;Банк Глобус;2438;Москва и обл.;2 459 529,00;2 452 624,00;6 905,00;0,28;
311;-4;Йошкар-Ола;2802;Марий Эл;2 423 951,00;2 446 902,00;-22 951,00;-0,94;
312;-4;РБА;3413;Москва и обл.;2 422 669,00;2 410 628,00;12 041,00;0,5;
313;-2;Первый Дортрансбанк;3271;Кировская обл.;2 344 298,00;2 344 277,00;21;0;
314;0;Костромаселькомбанк;1115;Костромская обл.;2 336 526,00;2 286 877,00;49 649,00;2,17;
315;6;Пермь;875;Пермская обл.;2 297 773,00;2 186 792,00;110 981,00;5,08;
316;3;Вкабанк;1027;Астраханская обл.;2 293 283,00;2 198 400,00;94 883,00;4,32;
317;-1;Великие Луки Банк;598;Псковская обл.;2 275 777,00;2 224 416,00;51 361,00;2,31;
318;2;Россита-Банк;3257;Москва и обл.;2 212 851,00;2 189 097,00;23 754,00;1,09;
319;9;ИК Банк;1732;Татарстан;2 197 018,00;1 998 542,00;198 476,00;9,93;
320;-2;Приобье;537;Ханты-Мансийский АО — Югра;2 196 810,00;2 208 955,00;-12 145,00;-0,55;
321;3;Народный Доверительный Банк;2374;Москва и обл.;2 190 333,00;2 137 192,00;53 141,00;2,49;
322;0;Арзамас;1281;Нижегородская обл.;2 178 759,00;2 159 015,00;19 744,00;0,91;
323;6;РФИ Банк;3351;Москва и обл.;2 172 182,00;1 843 101,00;329 081,00;17,85;
324;1;Викинг;2;Санкт-Петербург и обл.;2 159 721,00;2 110 463,00;49 258,00;2,33;
325;22;Элекснет;3314;Москва и обл.;2 153 120,00;1 523 577,00;629 543,00;41,32;
326;-3;Капитал;575;Москва и обл.;2 135 049,00;2 146 397,00;-11 348,00;-0,53;
327;31;Сервис Резерв;2034;Москва и обл.;2 026 680,00;1 415 913,00;610 767,00;43,14;
328;-2;Саратов;330;Саратовская обл.;1 980 807,00;2 061 089,00;-80 282,00;-3,9;
329;-2;Кросна-Банк;2607;Москва и обл.;1 976 733,00;2 026 835,00;-50 102,00;-2,47;
330;-25;Новый Московский Банк;2932;Москва и обл.;1 882 430,00;2 503 791,00;-621 361,00;-24,82;
331;-1;Майкопбанк;1136;Адыгея;1 866 184,00;1 836 092,00;30 092,00;1,64;
332;13;Ноосфера;2650;Республика Алтай;1 805 149,00;1 555 790,00;249 359,00;16,03;
333;6;Алтынбанк;2070;Татарстан;1 772 060,00;1 673 593,00;98 467,00;5,88;
334;6;Дом-Банк;3209;Москва и обл.;1 767 798,00;1 661 547,00;106 251,00;6,39;
335;2;Тексбанк;2756;Карачаево-Черкесия;1 765 279,00;1 691 805,00;73 474,00;4,34;
336;-2;Калуга;1151;Калужская обл.;1 762 898,00;1 778 950,00;-16 052,00;-0,9;
337;6;Спутник;1071;Самарская обл.;1 748 009,00;1 608 986,00;139 023,00;8,64;
338;-2;АвтоКредитБанк;1973;Татарстан;1 700 285,00;1 707 093,00;-6 808,00;-0,4;
339;9;Проинвестбанк;784;Пермская обл.;1 684 644,00;1 518 380,00;166 264,00;10,95;
340;1;Промсельхозбанк;538;Москва и обл.;1 676 980,00;1 637 205,00;39 775,00;2,43;
341;1;Кузбассхимбанк;2868;Кемеровская обл.;1 635 265,00;1 621 017,00;14 248,00;0,88;
342;8;Новокиб;1747;Кемеровская обл.;1 612 271,00;1 486 352,00;125 919,00;8,47;
343;-5;Евроазиатский Инвестиционный Банк;2897;Москва и обл.;1 610 857,00;1 681 910,00;-71 053,00;-4,22;
344;13;Вакобанк;1291;Псковская обл.;1 570 561,00;1 418 551,00;152 010,00;10,72;
345;22;Столичный Кредит;2853;Москва и обл.;1 567 589,00;1 302 452,00;265 137,00;20,36;
346;20;Республиканский Кредитный Альянс;3017;Москва и обл.;1 555 909,00;1 328 630,00;227 279,00;17,11;
347;-1;Промышленно-Финансовое Сотрудничество;2410;Москва и обл.;1 553 218,00;1 534 933,00;18 285,00;1,19;
348;8;Росбизнесбанк;1405;Москва и обл.;1 522 157,00;1 420 246,00;101 911,00;7,18;
349;-14;Сельмашбанк;106;Ростовская обл.;1 515 025,00;1 735 676,00;-220 651,00;-12,71;
350;-1;Акрополь;3027;Москва и обл.;1 512 371,00;1 510 180,00;2 191,00;0,15;
351;-19;Банк РМП;2574;Москва и обл.;1 500 586,00;1 800 309,00;-299 723,00;-16,65;
352;-8;Мурманский Расчетный Центр;3341;Мурманская обл.;1 491 411,00;1 568 414,00;-77 003,00;-4,91;
353;-1;Крона-Банк;2499;Иркутская обл.;1 485 804,00;1 451 604,00;34 200,00;2,36;
354;7;Торжок (бывш. Торжокуниверсалбанк);933;Тверская обл.;1 426 077,00;1 382 678,00;43 399,00;3,14;
355;8;Примтеркомбанк;21;Приморский край;1 401 071,00;1 364 316,00;36 755,00;2,69;
356;4;Прохладный;874;Кабардино-Балкария;1 388 979,00;1 386 937,00;2 042,00;0,15;
357;2;Почтобанк;1788;Пермская обл.;1 368 034,00;1 402 633,00;-34 599,00;-2,47;
358;-3;Кузнецкий Мост;2254;Москва и обл.;1 319 013,00;1 423 720,00;-104 707,00;-7,35;
359;3;Курган;2568;Курганская обл.;1 311 126,00;1 369 210,00;-58 084,00;-4,24;
360;4;Руна-Банк;3207;Москва и обл.;1 286 918,00;1 341 299,00;-54 381,00;-4,05;
361;18;Банк Агора;3231;Москва и обл.;1 286 872,00;1 062 367,00;224 505,00;21,13;
362;-9;Р-Инкас;3536;Москва и обл.;1 262 071,00;1 444 333,00;-182 262,00;-12,62;
363;9;Апабанк;2404;Москва и обл.;1 235 252,00;1 211 929,00;23 323,00;1,92;
364;-33;МТИ Банк;1052;Москва и обл.;1 227 100,00;1 830 593,00;-603 493,00;-32,97;
365;3;Майский;1673;Кабардино-Балкария;1 220 640,00;1 264 767,00;-44 127,00;-3,49;
366;4;Нальчик;695;Кабардино-Балкария;1 216 983,00;1 246 087,00;-29 104,00;-2,34;
367;16;Финчер;3486;Москва и обл.;1 216 240,00;995 652,00;220 588,00;22,16;
368;3;Севзапинвестпромбанк;2152;Санкт-Петербург и обл.;1 197 790,00;1 238 491,00;-40 701,00;-3,29;
369;5;Саммит Банк;85;Приморский край;1 183 743,00;1 138 127,00;45 616,00;4,01;
370;5;Спецстройбанк;236;Москва и обл.;1 171 679,00;1 134 326,00;37 353,00;3,29;
371;2;Невастройинвест;1926;Санкт-Петербург и обл.;1 153 399,00;1 157 745,00;-4 346,00;-0,38;
372;-39;Земкомбанк;574;Ростовская обл.;1 141 878,00;1 781 033,00;-639 155,00;-35,89;
373;4;Байкалкредобанк;2990;Иркутская обл.;1 127 846,00;1 109 051,00;18 795,00;1,69;
374;-5;Русский Банк Сбережений;779;Ставропольский край;1 105 753,00;1 252 238,00;-146 485,00;-11,7;
375;3;ЕАТП Банк;1765;Астраханская обл.;1 105 278,00;1 074 712,00;30 566,00;2,84;
376;-22;Межбанковский Кредитный Союз;3242;Москва и обл.;1 079 396,00;1 425 627,00;-346 231,00;-24,29;
377;-12;Онего;2484;Карелия;1 078 048,00;1 332 186,00;-254 138,00;-19,08;
378;2;Спиритбанк;2053;Тульская обл.;1 057 863,00;1 046 663,00;11 200,00;1,07;
379;14;Электронный платежный сервис;3509;Москва и обл.;1 042 961,00;829 375,00;213 586,00;25,75;
380;-4;Дон-Тексбанк;1818;Ростовская обл.;1 037 238,00;1 128 164,00;-90 926,00;-8,06;
381;17;Единая касса;3512;Москва и обл.;1 027 503,00;742 225,00;285 278,00;38,44;
382;2;Синергия;2884;Саратовская обл.;993 102,00;989 031,00;4 071,00;0,41;
383;6;Классик Эконом Банк;3298;Северная Осетия — Алания;985 404,00;899 619,00;85 785,00;9,54;
384;3;Банк РСИ;3415;Москва и обл.;980 841,00;950 955,00;29 886,00;3,14;
385;0;Соколовский;2830;Москва и обл.;947 804,00;983 239,00;-35 435,00;-3,6;
386;0;Народный Инвестиционный Банк;2876;Самарская обл.;933 404,00;957 414,00;-24 010,00;-2,51;
387;-6;Деньги.Мэйл.Ру;3511;Москва и обл.;914 806,00;1 032 698,00;-117 892,00;-11,42;
388;3;Национальный Банк Сбережений;1949;Ивановская обл.;889 232,00;880 056,00;9 176,00;1,04;
389;-7;Химик;1114;Нижегородская обл.;873 412,00;1 019 414,00;-146 002,00;-14,32;
390;4;Единая Расчетная Палата;384;Москва и обл.;852 002,00;815 796,00;36 206,00;4,44;
391;24;Моби.Деньги;3523;Москва и обл.;834 613,00;484 077,00;350 536,00;72,41;
392;0;Мурманский Социальный Коммерческий Банк;2722;Мурманская обл.;834 171,00;835 381,00;-1 210,00;-0,14;
393;-3;Балаково-Банк;444;Саратовская обл.;819 190,00;893 082,00;-73 892,00;-8,27;
394;14;РИБ;2749;Москва и обл.;796 794,00;604 630,00;192 164,00;31,78;
395;0;Космос;2245;Москва и обл.;796 257,00;775 591,00;20 666,00;2,66;
396;-8;Максима;3379;Москва и обл.;771 144,00;915 927,00;-144 783,00;-15,81;
397;-1;Объединенный Банк Республики;1016;Чувашия;769 399,00;749 565,00;19 834,00;2,65;
398;8;Стандарт-Кредит;841;Москва и обл.;755 391,00;611 951,00;143 440,00;23,44;
399;3;Геобанк;2027;Москва и обл.;746 207,00;642 818,00;103 389,00;16,08;
400;-3;Металлург;2877;Москва и обл.;706 027,00;744 967,00;-38 940,00;-5,23;
401;-1;РусьРегионБанк;685;Москва и обл.;697 894,00;708 892,00;-10 998,00;-1,55;
402;-3;Прокоммерцбанк;2996;Москва и обл.;687 524,00;715 161,00;-27 637,00;-3,86;
403;-2;Ресурс-Траст;3122;Москва и обл.;644 202,00;654 472,00;-10 270,00;-1,57;
404;1;Рента-Банк;3095;Москва и обл.;642 199,00;630 873,00;11 326,00;1,8;
405;2;Гефест;1046;Тверская обл.;625 559,00;610 036,00;15 523,00;2,54;
406;-3;Славянбанк;804;Новгородская обл.;618 972,00;642 799,00;-23 827,00;-3,71;
407;13;Берейт;3505;Санкт-Петербург и обл.;600 706,00;425 011,00;175 695,00;41,34;
408;3;Эко-Инвест;3116;Москва и обл.;597 575,00;549 935,00;47 640,00;8,66;
409;-5;Банк 131;3538;Татарстан;582 232,00;631 493,00;-49 261,00;-7,8;
410;0;Таганрогбанк;3136;Ростовская обл.;546 275,00;564 245,00;-17 970,00;-3,18;
411;5;Монета.ру;3508;Марий Эл;542 019,00;477 731,00;64 288,00;13,46;
412;2;МВС Банк;2407;Дагестан;514 799,00;508 014,00;6 785,00;1,34;
413;-4;Вятич;2796;Рязанская обл.;512 961,00;576 280,00;-63 319,00;-10,99;
414;3;Холмск;503;Сахалинская обл.;507 177,00;440 649,00;66 528,00;15,1;
415;-3;Центрально-Азиатский;3037;Хакасия;499 263,00;518 488,00;-19 225,00;-3,71;
416;-3;Дружба;990;Тюменская обл.;496 525,00;511 683,00;-15 158,00;-2,96;
417;1;Народный Банк Тувы;1309;Тыва;493 550,00;434 851,00;58 699,00;13,5;
418;3;Континенталь;3184;Ставропольский край;433 289,00;416 268,00;17 021,00;4,09;
419;6;Альтернатива;3452;Москва и обл.;402 264,00;355 908,00;46 356,00;13,02;
420;3;Лэнд Кредит;1478;Москва и обл.;397 134,00;373 903,00;23 231,00;6,21;
421;1;Северстройбанк;3507;Вологодская обл.;379 848,00;374 688,00;5 160,00;1,38;
422;2;Тайдон;2085;Кемеровская обл.;371 281,00;371 811,00;-530;-0,14;
423;8;Расчетная Палата СВМБ;3324;Самарская обл.;370 592,00;235 977,00;134 615,00;57,05;
424;5;Платежный Стандарт;3530;Новосибирская обл.;368 958,00;266 015,00;102 943,00;38,7;
425;-6;Сетевая Расчетная Палата;3332;Татарстан;327 268,00;425 906,00;-98 638,00;-23,16;
426;1;Промсвязьинвест;2761;Дагестан;309 924,00;285 619,00;24 305,00;8,51;
427;8;Перспектива;3532;Омская обл.;294 928,00;186 333,00;108 595,00;58,28;
428;-2;Объединенная Расчетная Система;3342;Москва и обл.;282 133,00;294 164,00;-12 031,00;-4,09;
429;10;Премиум;3514;Москва и обл.;235 990,00;104 363,00;131 627,00;126,12;
430;-2;ПэйЮ;3518;Москва и обл.;224 247,00;283 065,00;-58 818,00;-20,78;
431;-1;Русское Финансовое Общество;3427;Москва и обл.;223 627,00;248 194,00;-24 567,00;-9,9;
432;0;Красноярский Краевой Расчетный Центр;3483;Красноярский край;223 604,00;226 599,00;-2 995,00;-1,32;
433;0;Нарат;1902;Татарстан;213 124,00;214 845,00;-1 721,00;-0,8;
434;0;Глобал Эксчейндж;3533;Москва и обл.;200 197,00;200 859,00;-662;-0,33;
435;1;Петербургский Расчетный Центр;3306;Санкт-Петербург и обл.;184 351,00;182 651,00;1 700,00;0,93;
436;2;Элплат;3535;Удмуртия;118 095,00;107 901,00;10 194,00;9,45;
437;0;Дальний Восток;3318;Приморский край;113 323,00;131 639,00;-18 316,00;-13,91;
438;2;Инэко;3520;Ивановская обл.;92 135,00;91 380,00;755;0,83;
