Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %;employer_id
155;-1;Алеф-Банк;2119;Москва и обл.;17 409 770,00;17 307 034,00;102 736,00;0,59;
156;-1;Ишбанк;2867;Москва и обл.;17 283 841,00;17 097 639,00;186 202,00;1,09;
157;10;РЕСО Кредит;3450;Москва и обл.;16 808 269,00;14 369 846,00;2 438 423,00;16,97;
158;-2;Морской Банк;77;Москва и обл.;16 786 135,00;16 530 138,00;255 997,00;1,55;
159;17;Эс-Би-Ай Банк;3185;Москва и обл.;16 546 845,00;12 931 173,00;3 615 672,00;27,96;
160;-1;Норвик Банк;902;Кировская обл.;16 218 534,00;16 116 503,00;102 031,00;0,63;
161;-3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 130 500,00;16 177 031,00;-46 531,00;-0,29;
162;-5;Форштадт;2208;Оренбургская обл.;16 029 000,00;16 273 390,00;-244 390,00;-1,5;
163;-3;Развитие-Столица;3013;Москва и обл.;15 937 556,00;16 065 702,00;-128 146,00;-0,8;
164;-1;НК Банк;2755;Москва и обл.;14 953 685,00;15 302 566,00;-348 881,00;-2,28;
165;0;Финанс Бизнес Банк;520;Москва и обл.;14 598 936,00;14 561 114,00;37 822,00;0,26;
166;0;Чайнасельхозбанк;3529;Москва и обл.;14 072 946,00;14 395 208,00;-322 262,00;-2,24;
167;2;Гарант-Инвест;2576;Москва и обл.;13 884 652,00;13 678 866,00;205 786,00;1,5;
168;0;Банк Казани;708;Татарстан;13 881 443,00;14 112 499,00;-231 056,00;-1,64;
169;10;Оренбург;3269;Оренбургская обл.;13 714 830,00;12 547 901,00;1 166 929,00;9,3;
170;2;КС Банк;1752;Мордовия;13 340 926,00;13 128 959,00;211 967,00;1,61;
171;2;БайкалИнвестБанк;1067;Москва и обл.;13 161 506,00;13 083 658,00;77 848,00;0,6;
172;-1;Руснарбанк;3403;Москва и обл.;13 130 908,00;13 228 137,00;-97 229,00;-0,74;
173;5;НИКО-Банк;702;Оренбургская обл.;12 977 982,00;12 755 432,00;222 550,00;1,74;
174;3;Промтрансбанк;2638;Башкортостан;12 874 734,00;12 871 759,00;2 975,00;0,02;
175;7;Датабанк;646;Удмуртия;12 842 503,00;12 228 118,00;614 385,00;5,02;
176;-1;Национальный Резервный Банк;2170;Москва и обл.;12 672 883,00;12 949 002,00;-276 119,00;-2,13;
177;-16;Яндекс.Деньги;3510;Россия;12 604 179,00;15 584 236,00;-2 980 057,00;-19,12;
178;-16;Национальная Факторинговая Компания;3437;Москва и обл.;12 439 637,00;15 425 072,00;-2 985 435,00;-19,35;
179;1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 366 315,00;12 507 804,00;-141 489,00;-1,13;
180;-6;Собинбанк;1317;Москва и обл.;12 302 569,00;13 063 371,00;-760 802,00;-5,82;
