employer_group;employer_name;employer_id2;employer_type;employer_id
УЦСБ;;;IT;
АДВ Консалтинг;;;IT;
НЭК (Нева коммуникационные системы);;;IT;
Импульс Телеком;Импульс Телеком, ООО 13;https://voronezh.hh.ru/employer/1686634;IT;1686634
OFT Group;OFT Group, ООО 2;https://voronezh.hh.ru/employer/76396;IT;76396
Манго Телеком;;;IT;
НИИ «Восход»;НИИ «Восход», ООО 33;https://voronezh.hh.ru/employer/154761;IT;154761
Унитех;Унитех, ООО 1;https://voronezh.hh.ru/employer/2845455;IT;2845455
Форт Диалог*****;Форт Диалог, АО 5;https://voronezh.hh.ru/employer/998174;IT;998174
Финвал Инжиниринг;;;IT;
"Корпорация ""Парус""";;;IT;
Системы и Связь;;;IT;
Консист Бизнес Групп;Консист Бизнес Групп 8;https://voronezh.hh.ru/employer/2652173;IT;2652173
БСС;БСС, ООО 51;https://voronezh.hh.ru/employer/39014;IT;39014
ТелеСвязь*****;ТелеСвязь, OOO, ООО 2;https://voronezh.hh.ru/employer/16700;IT;16700
Selectel;Selectel 53;https://voronezh.hh.ru/employer/633069;IT;633069
ЕАЕ-Консалт*****;ЕАЕ-Консалт 17;https://voronezh.hh.ru/employer/988038;IT;988038
BIA-Technologies;;;IT;
ДиалогНаука;ДиалогНаука, ООО 1;https://voronezh.hh.ru/employer/3383;IT;3383
ЗащитаИнфоТранс;ЗащитаИнфоТранс, ФГУП, ООО 16;https://voronezh.hh.ru/employer/116378;IT;116378
Астрал*****(3);Группа Компаний Астрал 19;https://voronezh.hh.ru/employer/1276490;IT;1276490
Сонет;СОНЕТ 5;https://voronezh.hh.ru/employer/81647;IT;81647
Prof-IT Group;PROF IT, ООО 4;https://voronezh.hh.ru/employer/3605622;IT;3605622
Ventra IT;Ventra 253;https://voronezh.hh.ru/employer/1838;IT;1838
Форус;Форус, Группа компаний, ООО 2;https://voronezh.hh.ru/employer/120289;IT;120289
Цифра;ЦИФРА, ООО 42;https://voronezh.hh.ru/employer/3191643;IT;3191643
Галэкс;НТЦ Галэкс 8;https://voronezh.hh.ru/employer/1039934;IT;1039934
Центр речевых технологий;;;IT;
РТИ(4);РТИ, АО 64;https://voronezh.hh.ru/employer/103944;IT;103944
Инфокомпас;;;IT;
First Line Software;First Line Software, ООО 41;https://voronezh.hh.ru/employer/638130;IT;638130
Аскон;АСКОН, ООО 72;https://voronezh.hh.ru/employer/41144;IT;41144
ХайТэк;ГК «ХайТэк» 24;https://voronezh.hh.ru/employer/2262181;IT;2262181
Сателл ИТ;Сателл ИТ, ООО 32;https://voronezh.hh.ru/employer/2863237;IT;2863237
ITPS;Группа компаний ITPS 14;https://voronezh.hh.ru/employer/40791;IT;40791
Неофлекс;Неофлекс, ООО 56;https://voronezh.hh.ru/employer/22494;IT;22494
Актив-софт;;;IT;
Оберон;Оберон, ООО 10;https://voronezh.hh.ru/employer/84751;IT;84751
Angara;Angara Technologies Group 13;https://voronezh.hh.ru/employer/1911403;IT;1911403
Компьютеры и сети;ГК Компьютеры и сети, ООО 11;https://voronezh.hh.ru/employer/550596;IT;550596
Айтоника;Айтоника, ООО 1;https://voronezh.hh.ru/employer/2607332;IT;2607332
Novardis;NOVARDIS 38;https://voronezh.hh.ru/employer/60491;IT;60491
Синимекс;Синимекс, ООО 6;https://voronezh.hh.ru/employer/6944;IT;6944
Molga Consulting;MOLGA Consulting (МОЛГА Консалтинг), ООО 8;https://voronezh.hh.ru/employer/52703;IT;52703
