employer_name;employer_id2;employer_type;employer_id;Позиция в рейтинге;Изменение позиции в рейтинге;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
Электронный платежный сервис;;bank;;379;14;3509;Москва и обл.;1 042 961,00;829 375,00;213 586,00;25,75
Дон-Тексбанк;;bank;;380;-4;1818;Ростовская обл.;1 037 238,00;1 128 164,00;-90 926,00;-8,06
Единая касса;;bank;;381;17;3512;Москва и обл.;1 027 503,00;742 225,00;285 278,00;38,44
Синергия;;bank;;382;2;2884;Саратовская обл.;993 102,00;989 031,00;4 071,00;0,41
Классик Эконом Банк;;bank;;383;6;3298;Северная Осетия — Алания;985 404,00;899 619,00;85 785,00;9,54
Банк РСИ;;bank;;384;3;3415;Москва и обл.;980 841,00;950 955,00;29 886,00;3,14
Соколовский;;bank;;385;0;2830;Москва и обл.;947 804,00;983 239,00;-35 435,00;-3,6
Народный Инвестиционный Банк;;bank;;386;0;2876;Самарская обл.;933 404,00;957 414,00;-24 010,00;-2,51
Деньги.Мэйл.Ру;;bank;;387;-6;3511;Москва и обл.;914 806,00;1 032 698,00;-117 892,00;-11,42
Национальный Банк Сбережений;;bank;;388;3;1949;Ивановская обл.;889 232,00;880 056,00;9 176,00;1,04
Химик;;bank;;389;-7;1114;Нижегородская обл.;873 412,00;1 019 414,00;-146 002,00;-14,32
Единая Расчетная Палата;;bank;;390;4;384;Москва и обл.;852 002,00;815 796,00;36 206,00;4,44
Моби.Деньги;;bank;;391;24;3523;Москва и обл.;834 613,00;484 077,00;350 536,00;72,41
Мурманский Социальный Коммерческий Банк;;bank;;392;0;2722;Мурманская обл.;834 171,00;835 381,00;-1 210,00;-0,14
Балаково-Банк;;bank;;393;-3;444;Саратовская обл.;819 190,00;893 082,00;-73 892,00;-8,27
РИБ;;bank;;394;14;2749;Москва и обл.;796 794,00;604 630,00;192 164,00;31,78
Космос;;bank;;395;0;2245;Москва и обл.;796 257,00;775 591,00;20 666,00;2,66
Максима;;bank;;396;-8;3379;Москва и обл.;771 144,00;915 927,00;-144 783,00;-15,81
Объединенный Банк Республики;;bank;;397;-1;1016;Чувашия;769 399,00;749 565,00;19 834,00;2,65
Стандарт-Кредит;;bank;;398;8;841;Москва и обл.;755 391,00;611 951,00;143 440,00;23,44
Геобанк;;bank;;399;3;2027;Москва и обл.;746 207,00;642 818,00;103 389,00;16,08
Металлург;;bank;;400;-3;2877;Москва и обл.;706 027,00;744 967,00;-38 940,00;-5,23
РусьРегионБанк;;bank;;401;-1;685;Москва и обл.;697 894,00;708 892,00;-10 998,00;-1,55
Прокоммерцбанк;;bank;;402;-3;2996;Москва и обл.;687 524,00;715 161,00;-27 637,00;-3,86
Ресурс-Траст;;bank;;403;-2;3122;Москва и обл.;644 202,00;654 472,00;-10 270,00;-1,57
Рента-Банк;;bank;;404;1;3095;Москва и обл.;642 199,00;630 873,00;11 326,00;1,8
Гефест;;bank;;405;2;1046;Тверская обл.;625 559,00;610 036,00;15 523,00;2,54
Славянбанк;;bank;;406;-3;804;Новгородская обл.;618 972,00;642 799,00;-23 827,00;-3,71
Берейт;;bank;;407;13;3505;Санкт-Петербург и обл.;600 706,00;425 011,00;175 695,00;41,34
Эко-Инвест;;bank;;408;3;3116;Москва и обл.;597 575,00;549 935,00;47 640,00;8,66
Банк 131;;bank;;409;-5;3538;Татарстан;582 232,00;631 493,00;-49 261,00;-7,8
Таганрогбанк;;bank;;410;0;3136;Ростовская обл.;546 275,00;564 245,00;-17 970,00;-3,18
Монета.ру;;bank;;411;5;3508;Марий Эл;542 019,00;477 731,00;64 288,00;13,46
МВС Банк;;bank;;412;2;2407;Дагестан;514 799,00;508 014,00;6 785,00;1,34
Вятич;;bank;;413;-4;2796;Рязанская обл.;512 961,00;576 280,00;-63 319,00;-10,99
Холмск;;bank;;414;3;503;Сахалинская обл.;507 177,00;440 649,00;66 528,00;15,1
Центрально-Азиатский;;bank;;415;-3;3037;Хакасия;499 263,00;518 488,00;-19 225,00;-3,71
Дружба;;bank;;416;-3;990;Тюменская обл.;496 525,00;511 683,00;-15 158,00;-2,96
Народный Банк Тувы;;bank;;417;1;1309;Тыва;493 550,00;434 851,00;58 699,00;13,5
Континенталь;;bank;;418;3;3184;Ставропольский край;433 289,00;416 268,00;17 021,00;4,09
Альтернатива;;bank;;419;6;3452;Москва и обл.;402 264,00;355 908,00;46 356,00;13,02
Лэнд Кредит;;bank;;420;3;1478;Москва и обл.;397 134,00;373 903,00;23 231,00;6,21
Северстройбанк;;bank;;421;1;3507;Вологодская обл.;379 848,00;374 688,00;5 160,00;1,38
Тайдон;;bank;;422;2;2085;Кемеровская обл.;371 281,00;371 811,00;-530;-0,14
Расчетная Палата СВМБ;;bank;;423;8;3324;Самарская обл.;370 592,00;235 977,00;134 615,00;57,05
Платежный Стандарт;;bank;;424;5;3530;Новосибирская обл.;368 958,00;266 015,00;102 943,00;38,7
Сетевая Расчетная Палата;;bank;;425;-6;3332;Татарстан;327 268,00;425 906,00;-98 638,00;-23,16
Промсвязьинвест;;bank;;426;1;2761;Дагестан;309 924,00;285 619,00;24 305,00;8,51
Перспектива;;bank;;427;8;3532;Омская обл.;294 928,00;186 333,00;108 595,00;58,28
Объединенная Расчетная Система;;bank;;428;-2;3342;Москва и обл.;282 133,00;294 164,00;-12 031,00;-4,09
Премиум;;bank;;429;10;3514;Москва и обл.;235 990,00;104 363,00;131 627,00;126,12
ПэйЮ;;bank;;430;-2;3518;Москва и обл.;224 247,00;283 065,00;-58 818,00;-20,78
Русское Финансовое Общество;;bank;;431;-1;3427;Москва и обл.;223 627,00;248 194,00;-24 567,00;-9,9
Красноярский Краевой Расчетный Центр;;bank;;432;0;3483;Красноярский край;223 604,00;226 599,00;-2 995,00;-1,32
Нарат;;bank;;433;0;1902;Татарстан;213 124,00;214 845,00;-1 721,00;-0,8
Глобал Эксчейндж;;bank;;434;0;3533;Москва и обл.;200 197,00;200 859,00;-662;-0,33
Петербургский Расчетный Центр;;bank;;435;1;3306;Санкт-Петербург и обл.;184 351,00;182 651,00;1 700,00;0,93
Элплат;;bank;;436;2;3535;Удмуртия;118 095,00;107 901,00;10 194,00;9,45
Дальний Восток;;bank;;437;0;3318;Приморский край;113 323,00;131 639,00;-18 316,00;-13,91
