employer_group;employer_name;employer_type;employer_id
Оней Банк;Оней Банк;bank;
Газнефтьбанк;Газнефтьбанк;bank;
Яринтербанк;Яринтербанк;bank;
Витабанк;Витабанк;bank;
Евроальянс;Евроальянс;bank;
Америкэн Экспресс Банк;Америкэн Экспресс Банк;bank;
Система;Система;bank;
Международный Коммерческий Банк;Международный Коммерческий Банк;bank;
Социум-Банк;Социум-Банк;bank;
Первый Инвестиционный Банк;Первый Инвестиционный Банк;bank;
Банк Глобус;Банк Глобус;bank;
Йошкар-Ола;Йошкар-Ола;bank;
РБА;РБА;bank;
Первый Дортрансбанк;Первый Дортрансбанк;bank;
Костромаселькомбанк;Костромаселькомбанк;bank;
Пермь;Пермь;bank;
Вкабанк;Вкабанк;bank;
Великие Луки Банк;Великие Луки Банк;bank;
Россита-Банк;Россита-Банк;bank;
ИК Банк;ИК Банк;bank;
Приобье;Приобье;bank;
Народный Доверительный Банк;Народный Доверительный Банк;bank;
Арзамас;Арзамас;bank;
РФИ Банк;РФИ Банк;bank;
Викинг;Викинг;bank;
Элекснет;Элекснет;bank;
Капитал;Капитал;bank;
Сервис Резерв;Сервис Резерв;bank;
Саратов;Саратов;bank;
Кросна-Банк;Кросна-Банк;bank;
Новый Московский Банк;Новый Московский Банк;bank;
Майкопбанк;Майкопбанк;bank;
Ноосфера;Ноосфера;bank;
Алтынбанк;Алтынбанк;bank;
Дом-Банк;Дом-Банк;bank;
Тексбанк;Тексбанк;bank;
Калуга;Калуга;bank;
Спутник;Спутник;bank;
АвтоКредитБанк;АвтоКредитБанк;bank;
Проинвестбанк;Проинвестбанк;bank;
Промсельхозбанк;Промсельхозбанк;bank;
Кузбассхимбанк;Кузбассхимбанк;bank;
Новокиб;Новокиб;bank;
Евроазиатский Инвестиционный Банк;Евроазиатский Инвестиционный Банк;bank;
Вакобанк;Вакобанк;bank;
Столичный Кредит;Столичный Кредит;bank;
Республиканский Кредитный Альянс;Республиканский Кредитный Альянс;bank;
Промышленно-Финансовое Сотрудничество;Промышленно-Финансовое Сотрудничество;bank;
Росбизнесбанк;Росбизнесбанк;bank;
Сельмашбанк;Сельмашбанк;bank;
Акрополь;Акрополь;bank;
Банк РМП;Банк РМП;bank;
Мурманский Расчетный Центр;Мурманский Расчетный Центр;bank;
Крона-Банк;Крона-Банк;bank;
Торжок (бывш. Торжокуниверсалбанк);Торжок (бывш. Торжокуниверсалбанк);bank;
Примтеркомбанк;Примтеркомбанк;bank;
Прохладный;Прохладный;bank;
Почтобанк;Почтобанк;bank;
Кузнецкий Мост;Кузнецкий Мост;bank;
Курган;Курган;bank;
Руна-Банк;Руна-Банк;bank;
Банк Агора;Банк Агора;bank;
Р-Инкас;Р-Инкас;bank;
Апабанк;Апабанк;bank;
МТИ Банк;МТИ Банк;bank;
Майский;Майский;bank;
Нальчик;Нальчик;bank;
Финчер;Финчер;bank;
Севзапинвестпромбанк;Севзапинвестпромбанк;bank;
Саммит Банк;Саммит Банк;bank;
Спецстройбанк;Спецстройбанк;bank;
Невастройинвест;Невастройинвест;bank;
Земкомбанк;Земкомбанк;bank;
Байкалкредобанк;Байкалкредобанк;bank;
Русский Банк Сбережений;Русский Банк Сбережений;bank;
ЕАТП Банк;ЕАТП Банк;bank;
Межбанковский Кредитный Союз;Межбанковский Кредитный Союз;bank;
Онего;Онего;bank;
Спиритбанк;Спиритбанк;bank;
Электронный платежный сервис;Электронный платежный сервис;bank;
